--- Data Base de Datos 
BEGIN;
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(21,'CC','43621921425','Mufi Sidwell','Sidwell','Soltero/a','Mujer','PO Box 71337','777-289-3895','1984-07-16');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(22,'CC','26048793856','Freemon Whordley','Whordley','Soltero/a','Hombre','Room 780','315-816-6882','1990-04-03');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(23,'CC','16407760869','Ripley Woodhams','Woodhams','Casado/a','Hombre','9th Floor','768-760-0581','1976-10-25');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(24,'CC','53866360383','Stormie Barwell','Barwell','Soltero/a','Mujer','Apt 1494','998-625-9369','2001-04-18');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(25,'CC','45011339467','Noah Dowbiggin','Dowbiggin','Soltero/a','Hombre','Room 235','253-620-2269','1978-05-18');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(26,'CC','24526290573','Barbara-anne Gostage','Gostage','Divorciado/a','Mujer','Room 1253','789-301-4634','1995-12-17');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(27,'CC','3286493716','Fae Katzmann','Katzmann','Soltero/a','Mujer','2nd Floor','700-512-2366','1971-05-05');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(28,'CC','15113423987','Garland Frederick','Frederick','Casado/a','Mujer','15th Floor','145-584-6965','1991-04-25');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(29,'CC','23422415070','Lowrance Bedow','Bedow','Soltero/a','Hombre','Room 1766','692-600-8377','2000-07-11');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(30,'CC','21242284426','Vita Falloon','Falloon','Casado/a','Mujer','PO Box 34217','375-614-5736','1973-10-19');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(31,'CC','43942618103','Trever Tuxwell','Tuxwell','Casado/a','Hombre','13th Floor','218-295-3818','1994-01-12');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(32,'CC','42875118929','Rosene Fransoni','Fransoni','Soltero/a','Mujer','Apt 41','252-392-1114','1999-05-30');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(33,'CC','27749023674','Trstram Cathesyed','Cathesyed','Soltero/a','Hombre','7th Floor','579-849-0479','1990-10-11');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(34,'CC','22730181950','Zorine Butterfill','Butterfill','Soltero/a','Mujer','Suite 16','538-320-3331','1998-06-14');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(35,'CC','24981577053','Flynn Dranfield','Dranfield','Divorciado/a','Hombre','Room 1175','708-943-6361','1975-02-02');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(36,'CC','23498072245','Carly Seagood','Seagood','Casado/a','Mujer','Apt 183','303-358-3150','1972-11-30');
INSERT INTO funcionario (funcionario_id,tipo_identificacion, numero_identificacion, nombres, apellidos, estado_civil, sexo, direccion, telefono, fecha_nacimiento) VALUES(37,'CC','5610643239','Nanni Derrington','Derrington','Soltero/a','Mujer','Room 344','715-948-8643','1992-11-08');
